,0,1
0,K-015137,200402328
1,K-005317,199502668
2,K-022116,200709638
3,K-006127,199700548
4,K-033203,201402439
5,K-030365,201208724
6,K-017217,200501556
7,K-008234,199903365
8,K-029910,201206493
9,K-042045,201705689
10,K-033989,201404016
11,K-014086,200400173
12,K-042269,201706671
13,K-028145,201100813
14,K-003259,199100461
15,K-038162,201600318
16,K-006861,199800142
17,K-003225,199100164
18,K-000954,198300132
19,K-023482,200803966
20,K-028385,201102394
21,K-031963,201309579
22,K-025175,200900671
23,K-011988,200201812
24,K-002210,198800444
25,K-022063,200709331
26,K-004667,199401173
27,K-001900,198700706
28,K-000779,198100428
29,K-002650,198900463
30,K-024309,200807685
31,K-028659,201104795
32,K-037827,201507806
33,K-006432,199701900
34,K-031745,201309057
35,K-032281,201310617
36,K-029647,201205038
37,K-007760,199900554
38,K-036278,201502784
39,K-017557,200502264
40,K-006677,199702953
41,K-004633,199400992
42,K-028468,201103424
43,K-009021,200001860
44,K-014476,200401023
45,K-029820,201206161
46,K-035369,201500728
47,K-005466,199600246
48,K-029464,201201694
49,K-021351,200706109
50,K-014078,200400151
51,K-012789,200300431
52,K-015230,200402546
53,K-001632,198600161
54,K-010426,200100540
55,K-013101,200301115
56,K-034851,201405735
57,K-004119,199300848
58,K-033960,201403980
59,K-005200,199501748
60,K-023124,200801559
61,K-046127,201901869
62,K-004574,199400670
63,K-012950,200300802
64,K-044921,201804619
65,K-014980,200402096
66,K-015395,200402879
67,K-001446,198500605
68,K-031066,201307082
69,K-002824,198901915
70,K-031198,201307567
71,K-050265,202000410
72,K-038377,201600985
73,K-004093,199300655
74,K-011570,200200478
75,K-004549,199400505
76,K-026455,200905692
77,K-020753,200703215
78,K-014413,200400892
79,K-017040,200501216
80,K-043285,201800701
81,K-022147,200709818
82,K-022612,200712325
83,K-033856,201403814
84,K-029001,201109274
85,K-028693,201105270
86,K-030599,201301616
87,K-017008,200501163
88,K-008026,199902012
89,K-010995,200102905
90,K-026249,200905270
91,K-018203,200511293
92,K-005444,199600151
93,K-020401,200701872
94,K-002209,198800437
95,K-015383,200402842
96,K-001588,198501428
97,K-011354,200109769
98,K-035541,201501215
99,K-013554,200302177
100,K-024196,200807310
101,K-016532,200500227
102,K-002651,198900464
103,K-021771,200708376
104,K-000260,197400343
105,K-020975,200704322
106,K-016841,200500835
107,K-035466,201500982
108,K-024331,200807813
109,K-024307,200807683
110,K-020090,200612612
111,K-013402,200301832
112,K-010295,200009708
113,K-000609,197900575
114,K-004522,199400362
115,K-030768,201305058
116,K-025994,200904689
117,K-043542,201801353
118,K-007347,199802670
119,K-008109,199902308
120,K-014639,200401367
121,K-016224,200410073
122,K-011250,200108739
123,K-038715,201602096
124,K-006883,199800303
125,K-033025,201401985
126,K-023580,200804798
127,K-036625,201503635
128,K-000488,197800303
129,K-024904,200810915
130,K-036265,201502770
131,K-004003,199300097
132,K-043689,201801688
133,K-036140,201502605
134,K-021985,200709011
135,K-001516,198500834
136,K-030347,201208518
137,K-036076,201502453
138,K-030617,201301656
139,K-036518,201503305
140,K-036747,201504100
141,K-032809,201401265
142,K-029325,201200216
143,K-012627,200300064
